car name,rating,exterior & body,engine/transmission/clutch,suspension/steering,interior,ac/heater,price,model date,mileage,fuel type,transmission,company,variant
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2019",91,74,100,100,97,100,5350000,2019,55063,2,1,11,108
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",98,93,100,100,100,100,7200000,2021,13923,2,1,11,108
"Toyota Sienta G,Petrol,Automatic,2018",99,97,100,100,100,100,6690000,2018,95830,2,1,27,386
"Toyota Yaris GLI MT 1.3,Petrol,Manual,2021",93,80,100,100,86,100,3800000,2021,64784,2,0,27,506
"Peugeot 2008 Allure,Petrol,Automatic,2022",90,68,100,100,98,100,6400000,2022,39165,2,1,20,3
"Toyota Hilux Revo V Automatic 2.8,Diesel,Automatic,2021",87,57,100,100,95,100,12800000,2021,35866,0,1,27,252
"Changan Karvaan Plus,Petrol,Manual,2021",97,93,100,100,93,100,2750000,2021,6260,2,0,3,265
"Toyota Corolla Altis Grande CVT-i 1.8,Petrol,Automatic,2017",96,93,100,100,99,100,5200000,2017,41510,2,1,27,135
"Suzuki Cultus VXL,Petrol,Manual,2021",95,85,100,100,98,100,3440000,2021,21462,2,0,26,171
"Toyota Fortuner 2.7 VVTi,Petrol,Automatic,2020",99,97,100,100,100,100,16000000,2020,14687,2,1,27,211
"Hyundai Elantra GLS,Petrol,Automatic,2022",97,94,100,100,95,100,7000000,2022,8376,2,1,12,191
"Toyota Corolla Altis X Automatic 1.6 Special Edition,Petrol,Automatic,2021",98,92,100,100,97,100,6500000,2021,57815,2,1,27,146
"Toyota Hilux Revo Rocco,Diesel,Automatic,2022",99,97,100,100,100,100,13900000,2022,16938,0,1,27,250
"Daihatsu Mira X SA lll,Petrol,Automatic,2020",94,81,100,100,97,100,3490000,2020,21849,2,1,6,297
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",94,83,100,100,95,100,7000000,2021,56081,2,1,11,108
"Toyota Corolla Altis Automatic 1.6,Petrol,Automatic,2020",87,58,100,100,97,100,5000000,2020,51790,2,1,27,131
"Toyota Yaris GLI MT 1.3,Petrol,Manual,2021",93,80,100,100,93,100,3800000,2021,20458,2,0,27,506
"Toyota Land Cruiser ZX,Petrol,Automatic,2013",97,91,100,100,97,100,40000000,2013,33968,2,1,27,277
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2022",90,69,100,100,90,100,5850000,2022,17799,2,1,27,143
"Honda Civic 1.8 i-VTEC CVT,Petrol,Automatic,2020",98,94,100,100,98,100,5400000,2020,38443,2,1,11,101
"MG HS 1.5 Turbo,Petrol,Automatic,2021",93,78,100,100,96,100,7000000,2021,29933,2,1,15,237
"Toyota Corolla Altis X Automatic 1.6 Special Edition,Petrol,Automatic,2021",97,91,100,100,97,100,6500000,2021,18917,2,1,27,146
"KIA Picanto 1.0 AT,Petrol,Automatic,2022",95,89,100,100,87,100,3300000,2022,9148,2,1,14,327
"Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,Petrol,Automatic,2021",100,100,100,100,100,100,7200000,2021,7908,2,1,27,140
"Toyota Yaris ATIV X CVT 1.5,Petrol,Automatic,2021",92,76,100,100,95,100,4550000,2021,6088,2,1,27,500
"KIA Sportage FWD,Petrol,Automatic,2021",94,82,98,100,96,100,7400000,2021,19714,2,1,14,413
"Toyota Corolla Altis Grande CVT-i 1.8,Petrol,Automatic,2020",96,91,98,100,94,100,5750000,2020,39389,2,1,27,135
"Toyota Yaris ATIV X CVT 1.5,Petrol,Automatic,2021",98,94,100,100,97,100,5600000,2021,5521,2,1,27,500
"Toyota Yaris ATIV X CVT 1.5,Petrol,Automatic,2022",93,78,100,100,97,100,5300000,2022,14857,2,1,27,500
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2021",92,74,100,100,100,100,5400000,2021,30880,2,1,27,143
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2021",93,80,100,100,92,100,5300000,2021,26588,2,1,27,143
"Changan Oshan X7 FutureSense,Petrol,Automatic,2022",100,100,100,100,100,100,8700000,2022,3555,2,1,3,315
"Suzuki Swift GL CVT,Petrol,Automatic,2022",94,81,100,100,92,100,3800000,2022,30176,2,1,26,428
"Suzuki Cultus VXL,Petrol,Manual,2021",95,85,100,100,97,100,3500000,2021,21810,2,0,26,171
"Suzuki Wagon R Hybrid FX,Hybrid,Automatic,2020",86,58,100,100,89,100,3500000,2020,32382,1,1,26,476
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2022",99,100,100,100,97,100,5650000,2022,15897,2,1,27,143
"Suzuki Wagon R VXR,Petrol,Manual,2022",89,69,100,100,87,100,2650000,2022,19540,2,0,26,486
"Toyota Corolla Altis Automatic 1.6,Petrol,Automatic,2019",80,40,98,100,91,100,4850000,2019,58350,2,1,27,131
"KIA Sorento 3.5 FWD,Petrol,Automatic,2021",97,93,100,96,98,100,10400000,2021,26120,2,1,14,400
"Changan Alsvin 1.5L DCT Lumiere,Petrol,Automatic,2022",96,90,100,100,93,100,3990000,2022,15926,2,1,3,15
"Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,Petrol,Automatic,2022",99,98,100,100,100,100,6965000,2022,11278,2,1,27,138
"Honda City 1.2L CVT,Petrol,Automatic,2022",100,100,100,100,100,100,4900000,2022,2291,2,1,11,74
"Suzuki Alto VXL AGS,Petrol,Automatic,2022",91,73,100,100,87,100,3150000,2022,9578,2,1,26,25
"Suzuki Cultus VXL,Petrol,Manual,2021",94,85,100,100,93,100,3300000,2021,29073,2,0,26,171
"Honda City 1.5L ASPIRE CVT,Petrol,Automatic,2021",95,84,100,100,100,100,4750000,2021,12499,2,1,11,83
"Hyundai Elantra GLS,Petrol,Automatic,2021",96,90,100,96,98,100,6000000,2021,28111,2,1,12,191
"KIA Sportage AWD,Petrol,Automatic,2021",95,85,100,100,98,100,7490000,2021,35725,2,1,14,404
"Suzuki Wagon R VXL,Petrol,Manual,2022",96,90,100,100,92,100,2850000,2022,9187,2,0,26,481
"Suzuki Alto VXR,Petrol,Manual,2022",99,97,100,100,100,100,2500000,2022,4872,2,0,26,29
"Honda City 1.2L CVT,Petrol,Automatic,2022",98,95,100,100,97,100,4600000,2022,18225,2,1,11,74
"Changan Alsvin 1.5L DCT Lumiere,Petrol,Automatic,2022",99,97,100,100,100,100,4500000,2022,8822,2,1,3,15
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",94,80,100,100,100,100,7000000,2021,35727,2,1,11,108
"Changan Alsvin 1.5L DCT Lumiere,Petrol,Automatic,2022",99,96,100,100,97,100,4500000,2022,7119,2,1,3,15
"Honda Vezel e-HEV Z,Hybrid,Automatic,2021",98,95,100,100,100,100,12900000,2021,22528,1,1,11,461
"Honda City 1.5L ASPIRE CVT,Petrol,Automatic,2021",90,67,100,100,96,100,5000000,2021,18452,2,1,11,83
"Hyundai Tucson AWD A/T Ultimate,Petrol,Automatic,2022",100,100,100,100,100,100,9000000,2022,11124,2,1,12,442
"Hyundai Tucson FWD A/T GLS Sport,Petrol,Automatic,2020",91,75,100,100,91,100,7500000,2020,39744,2,1,12,448
"Honda Vezel e-HEV Play,Hybrid,Automatic,2022",97,91,100,100,99,100,16000000,2022,5791,1,1,11,459
"KIA Picanto 1.0 AT,Petrol,Automatic,2022",99,95,100,100,100,100,3600000,2022,5300,2,1,14,327
"Hyundai Tucson FWD A/T GLS Sport,Petrol,Automatic,2020",100,99,100,100,98,100,7400000,2020,45549,2,1,12,448
"Toyota Corolla Altis Automatic 1.6,Petrol,Automatic,2019",93,84,100,100,90,100,4990000,2019,39040,2,1,27,131
"Hyundai Sonata 2.5,Petrol,Automatic,2021",99,98,98,100,100,100,10000000,2021,53831,2,1,12,392
"Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,Petrol,Automatic,2021",95,87,100,100,100,100,6550000,2021,41917,2,1,27,140
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2018",92,76,98,100,93,100,5500000,2018,26062,2,1,11,108
"Proton Saga 1.3L Ace A/T,Petrol,Automatic,2022",98,93,100,100,100,100,3400000,2022,1908,2,1,23,373
"Toyota Corolla Altis Automatic 1.6,Petrol,Automatic,2019",87,64,98,100,90,100,4400000,2019,75480,2,1,27,131
"Suzuki Alto X,Petrol,Automatic,2018",95,84,100,100,100,100,3100000,2018,41749,2,1,26,34
"MG HS 1.5 Turbo,Petrol,Automatic,2021",97,91,100,100,100,100,7000000,2021,44150,2,1,15,237
"Hyundai Sonata 2.5,Petrol,Automatic,2022",94,81,100,100,96,100,9950000,2022,5653,2,1,12,392
"Toyota Pixis Epoch,Petrol,Automatic,2019",92,78,100,100,97,100,3550000,2019,23507,2,1,27,334
"Toyota Corolla Altis Grande CVT-i 1.8,Petrol,Automatic,2021",97,91,100,100,100,100,6650000,2021,51605,2,1,27,135
"MG HS 1.5 Turbo,Petrol,Automatic,2021",94,80,100,100,100,100,6600000,2021,25200,2,1,15,237
"Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,Petrol,Automatic,2021",92,77,100,100,90,100,6250000,2021,44401,2,1,27,138
"Hyundai Elantra GLS,Petrol,Automatic,2021",97,90,100,100,98,100,6600000,2021,29821,2,1,12,191
"Toyota Hilux Revo V Automatic 2.8,Diesel,Automatic,2021",95,86,100,100,96,100,12900000,2021,9851,0,1,27,252
"Toyota Land Cruiser ZX,Petrol,Automatic,2012",94,79,100,100,100,100,30700000,2012,55149,2,1,27,277
"Toyota Prado TX L Package 2.7,Petrol,Automatic,2013",96,84,100,100,100,100,20800000,2013,31813,2,1,27,341
"Daihatsu Mira LSA 3,Petrol,Automatic,2020",97,96,100,100,99,100,3550000,2020,8871,2,1,6,289
"Toyota C-HR G,Hybrid,Automatic,2017",88,67,100,100,80,100,7400000,2017,66881,1,1,27,59
"Suzuki Cultus VXL,Petrol,Manual,2020",84,52,98,100,87,100,2780000,2020,66234,2,0,26,171
"Toyota Prado TX 2.7,Petrol,Automatic,2018",99,98,100,100,100,100,29300000,2018,22455,2,1,27,338
"Toyota Fortuner 2.7 VVTi,Petrol,Automatic,2018",92,75,100,100,100,100,12500000,2018,33747,2,1,27,211
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",93,76,100,100,100,100,6500000,2021,22861,2,1,11,108
"Toyota Fortuner 2.7 VVTi,Petrol,Automatic,2017",94,79,100,100,98,100,10500000,2017,34666,2,1,27,211
"Honda City 1.2L CVT,Petrol,Automatic,2022",97,94,100,100,98,100,4550000,2022,5158,2,1,11,74
"Daihatsu Mira X SA lll,Petrol,Automatic,2020",97,91,100,100,100,100,3600000,2020,36412,2,1,6,297
"Hyundai Tucson AWD A/T Ultimate,Petrol,Automatic,2022",100,99,100,100,100,100,8400000,2022,4250,2,1,12,442
"Toyota Prado TX Limited 2.7,Petrol,Automatic,2019",98,95,100,100,100,100,34200000,2019,44676,2,1,27,345
"Toyota Prado TX 2.7,Petrol,Automatic,2012",87,58,100,100,90,100,15500000,2012,92502,2,1,27,338
"Toyota Hilux Revo V Automatic 2.8,Diesel,Automatic,2020",89,65,100,100,100,100,11500000,2020,54447,0,1,27,252
"KIA Sportage AWD,Petrol,Automatic,2022",100,100,100,100,100,100,7950000,2022,8299,2,1,14,404
"Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,Petrol,Automatic,2021",99,98,100,100,98,100,7100000,2021,26201,2,1,27,140
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2022",98,95,100,100,97,100,6100000,2022,5128,2,1,27,143
"Suzuki Swift DLX Automatic 1.3 Navigation,Petrol,Automatic,2019",84,62,98,100,79,100,2750000,2019,44843,2,1,26,427
"Toyota Land Cruiser ZX,Petrol,Automatic,2016",91,69,100,100,100,100,42000000,2016,101149,2,1,27,277
"Toyota Yaris ATIV MT 1.3,Petrol,Manual,2021",95,87,100,100,97,100,4000000,2021,28165,2,0,27,498
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2021",96,90,100,100,95,100,5750000,2021,45449,2,1,27,143
"Toyota Yaris ATIV X CVT 1.5,Petrol,Automatic,2021",90,68,100,96,97,100,4400000,2021,45755,2,1,27,500
"Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,Petrol,Automatic,2021",95,91,100,100,95,100,6750000,2021,61416,2,1,27,138
"MG HS 1.5 Turbo,Petrol,Automatic,2021",99,97,100,100,100,100,7500000,2021,1478,2,1,15,237
"Toyota Corolla Altis Automatic 1.6,Petrol,Automatic,2019",92,77,100,100,97,100,5300000,2019,49647,2,1,27,131
"Toyota Vitz F 1.0,Petrol,Automatic,2019",95,86,100,100,98,100,4500000,2019,44018,2,1,27,465
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",91,72,100,100,100,100,6250000,2021,25034,2,1,11,108
"Daihatsu Mira L,Petrol,Automatic,2019",96,91,100,100,91,100,3840000,2019,11408,2,1,6,285
"Honda City 1.2L CVT,Petrol,Automatic,2022",99,97,100,100,100,100,4900000,2022,2702,2,1,11,74
"Suzuki Cultus VXR,Petrol,Manual,2021",91,72,100,100,93,100,3125000,2021,14598,2,0,26,174
"KIA Sportage Alpha,Petrol,Automatic,2021",96,90,100,100,95,100,6500000,2021,80204,2,1,14,410
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2020",93,79,100,100,90,100,6400000,2020,40531,2,1,11,108
"Hyundai Tucson FWD A/T GLS Sport,Petrol,Automatic,2020",96,86,100,100,100,100,7550000,2020,33870,2,1,12,448
"Toyota C-HR G,Hybrid,Automatic,2018",95,89,100,100,94,100,8900000,2018,68574,1,1,27,59
"Honda HR-V VTi-S,Petrol,Automatic,2022",99,98,100,100,100,100,7300000,2022,14425,2,1,11,234
"KIA Stonic EX+,Petrol,Automatic,2021",97,91,100,96,100,100,5400000,2021,25332,2,1,14,422
"Suzuki Swift GLX CVT,Petrol,Automatic,2022",95,85,100,100,100,100,4500000,2022,10174,2,1,26,433
"KIA Sportage FWD,Petrol,Automatic,2021",99,99,100,100,97,100,7900000,2021,8719,2,1,14,413
"KIA Sorento 3.5 FWD,Petrol,Automatic,2022",93,81,100,100,100,100,9600000,2022,32986,2,1,14,400
"Suzuki Wagon R VXR,Petrol,Manual,2022",94,82,100,100,97,100,2800000,2022,4266,2,0,26,486
"Honda City 1.5L ASPIRE CVT,Petrol,Automatic,2022",96,87,100,100,100,100,5150000,2022,20875,2,1,11,83
"KIA Picanto 1.0 AT,Petrol,Automatic,2020",95,82,100,100,100,100,2900000,2020,17863,2,1,14,327
"Honda Civic RS,Petrol,Automatic,2022",97,88,100,100,100,100,9600000,2022,1186,2,1,11,115
"Daihatsu Mira X SA lll,Petrol,Automatic,2020",97,96,100,100,93,100,3700000,2020,61761,2,1,6,297
"Daihatsu Move L SA 3,Petrol,Automatic,2020",92,79,100,100,95,100,3500000,2020,31607,2,1,6,300
"KIA Picanto 1.0 MT,Petrol,Manual,2021",94,79,100,100,100,100,2800000,2021,21900,2,0,14,332
"KIA Sportage Alpha,Petrol,Automatic,2021",98,92,100,100,100,100,6450000,2021,45810,2,1,14,410
"Toyota Prado TX Limited 2.7,Petrol,Automatic,2018",92,78,100,100,100,100,31000000,2018,41610,2,1,27,345
"KIA Picanto 1.0 MT,Petrol,Manual,2021",92,75,100,96,100,100,2650000,2021,33819,2,0,14,332
"KIA Picanto 1.0 AT,Petrol,Automatic,2022",99,98,100,100,97,100,3375000,2022,5951,2,1,14,327
"KIA Sportage FWD,Petrol,Automatic,2021",95,86,100,100,100,100,7000000,2021,33847,2,1,14,413
"Toyota Corolla Altis X Manual 1.6,Petrol,Manual,2022",94,83,100,100,97,100,5500000,2022,38677,2,0,27,150
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",98,95,100,100,95,100,6800000,2021,17523,2,1,11,108
"KIA Sportage FWD,Petrol,Automatic,2022",100,100,100,100,97,100,7700000,2022,12336,2,1,14,413
"Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,Petrol,Automatic,2021",95,83,100,100,100,100,6500000,2021,73318,2,1,27,140
"Hyundai Tucson AWD A/T Ultimate,Petrol,Automatic,2021",98,96,100,100,100,100,8300000,2021,78350,2,1,12,442
"Toyota Fortuner 2.7 G,Petrol,Automatic,2022",94,81,100,100,100,100,14500000,2022,12298,2,1,27,206
"KIA Sportage FWD,Petrol,Automatic,2020",94,83,100,100,98,100,6560000,2020,32391,2,1,14,413
"KIA Picanto 1.0 MT,Petrol,Manual,2021",96,91,100,100,90,100,2700000,2021,41626,2,0,14,332
"Toyota Corolla Altis Automatic 1.6,Petrol,Automatic,2019",85,53,98,100,96,100,4750000,2019,114359,2,1,27,131
"Toyota Fortuner 2.8 Sigma 4,Diesel,Automatic,2021",92,77,100,100,98,100,16000000,2021,33028,0,1,27,215
"MG HS 1.5 Turbo,Petrol,Automatic,2021",94,84,100,100,98,100,6550000,2021,26712,2,1,15,237
"Toyota Corolla Altis X Automatic 1.6 Special Edition,Petrol,Automatic,2022",87,58,100,100,92,100,6900000,2022,8494,2,1,27,146
"KIA Sportage AWD,Petrol,Automatic,2020",95,90,100,100,98,100,7200000,2020,56331,2,1,14,404
"KIA Sorento 2.4 FWD,Petrol,Automatic,2022",98,95,100,100,94,100,8400000,2022,5123,2,1,14,397
"Suzuki Cultus VXR,Petrol,Manual,2022",97,90,100,100,98,100,3300000,2022,6660,2,0,26,174
"Toyota Yaris ATIV X CVT 1.5,Petrol,Automatic,2021",95,84,100,100,97,100,4800000,2021,24273,2,1,27,500
"Hyundai Elantra GLS,Petrol,Automatic,2022",97,92,100,100,93,100,6650000,2022,19233,2,1,12,191
"KIA Sportage AWD,Petrol,Automatic,2021",96,90,100,100,98,100,7500000,2021,31853,2,1,14,404
"Toyota Yaris ATIV X CVT 1.5,Petrol,Automatic,2022",99,98,100,100,100,100,5175000,2022,7422,2,1,27,500
"KIA Sorento 3.5 FWD,Petrol,Automatic,2022",99,96,100,100,100,100,9800000,2022,5989,2,1,14,400
"KIA Sportage FWD,Petrol,Automatic,2022",92,73,100,100,95,100,7050000,2022,12960,2,1,14,413
"Honda HR-V VTi-S,Petrol,Automatic,2022",99,97,100,100,100,100,7300000,2022,8435,2,1,11,234
"Toyota Passo X S,Petrol,Automatic,2020",100,98,100,100,100,100,4120000,2020,9918,2,1,27,323
"Suzuki Cultus VXL,Petrol,Manual,2020",91,79,98,100,95,100,2900000,2020,66446,2,0,26,171
"Toyota Yaris GLI CVT 1.3,Petrol,Automatic,2021",96,88,100,100,97,100,3900000,2021,30355,2,1,27,505
"Toyota Corolla Altis Grande CVT-i 1.8,Petrol,Automatic,2016",89,78,100,100,95,100,4500000,2016,47688,2,1,27,135
"MG HS 1.5 Turbo,Petrol,Automatic,2022",93,75,100,100,100,100,7500000,2022,5687,2,1,15,237
"Toyota C-HR S-LED,Hybrid,Automatic,2018",99,98,100,100,100,100,8450000,2018,60702,1,1,27,65
"Toyota Aqua S,Hybrid,Automatic,2020",95,88,100,100,96,100,6450000,2020,69802,1,1,27,39
"Toyota C-HR G,Hybrid,Automatic,2018",97,96,100,100,100,100,8750000,2018,70244,1,1,27,59
"Honda Fit 1.5 Hybrid S Package,Hybrid,Automatic,2020",98,94,100,100,100,100,7790000,2020,27616,1,1,11,201
"Daihatsu Mira L,Petrol,Automatic,2019",97,94,100,100,98,100,3490000,2019,32834,2,1,6,285
"Honda N Wgn G,Petrol,Automatic,2020",95,86,100,100,100,100,3690000,2020,12577,2,1,11,309
"Suzuki Wagon R Hybrid FX,Hybrid,Automatic,2019",95,87,100,100,98,100,3790000,2019,48257,1,1,26,476
"Daihatsu Mira LSA 3,Petrol,Automatic,2021",100,100,100,100,100,100,3700000,2021,1215,2,1,6,289
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2022",100,100,100,100,100,100,6500000,2022,31271,2,1,27,143
"Changan Karvaan Plus,Petrol,Manual,2022",96,90,98,100,97,100,2800000,2022,13016,2,0,3,265
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2020",93,79,100,100,94,100,6200000,2020,71995,2,1,11,108
"Toyota Corolla Altis X Automatic 1.6,Petrol,Automatic,2021",98,94,100,100,100,100,5750000,2021,31770,2,1,27,143
"Proton X70 Premium FWD,Petrol,Automatic,2021",96,86,100,100,100,100,7000000,2021,72208,2,1,23,491
"Suzuki Swift GL CVT,Petrol,Automatic,2022",91,71,100,100,100,100,4000000,2022,33338,2,1,26,428
"Toyota Corolla Altis Automatic 1.6,Petrol,Automatic,2020",88,61,100,100,97,100,5200000,2020,46290,2,1,27,131
"Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,Petrol,Automatic,2021",98,93,100,100,100,100,7000000,2021,14665,2,1,27,138
"Honda Civic 1.8 i-VTEC CVT,Petrol,Automatic,2021",92,77,100,100,97,100,5900000,2021,49290,2,1,11,101
"Toyota Yaris ATIV X CVT 1.5,Petrol,Automatic,2022",98,95,100,100,97,100,5000000,2022,13735,2,1,27,500
"Honda City 1.3 i-VTEC,Petrol,Manual,2020",98,96,100,100,90,100,4100000,2020,12084,2,0,11,79
"Hyundai Tucson AWD A/T Ultimate,Petrol,Automatic,2020",96,85,100,100,100,100,7500000,2020,55043,2,1,12,442
"Changan Alsvin 1.5L DCT Lumiere,Petrol,Automatic,2021",88,63,100,100,91,100,4000000,2021,27637,2,1,3,15
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",98,94,100,100,100,100,7500000,2021,15045,2,1,11,108
"Toyota Prado TX 2.7,Petrol,Automatic,2017",98,93,100,100,96,100,29500000,2017,21112,2,1,27,338
"Toyota Fortuner 2.7 V,Petrol,Automatic,2021",98,92,100,100,100,100,17500000,2021,8339,2,1,27,209
"Suzuki Alto VXL AGS,Petrol,Automatic,2022",95,86,100,100,91,100,2900000,2022,20472,2,1,26,25
"Toyota Corolla Altis Grande CVT-i 1.8,Petrol,Automatic,2020",99,97,100,100,100,100,6300000,2020,29628,2,1,27,135
"Suzuki Alto VXL AGS,Petrol,Automatic,2020",84,57,98,100,84,100,2550000,2020,60520,2,1,26,25
"Changan Alsvin 1.5L DCT Lumiere,Petrol,Automatic,2022",94,80,100,100,100,100,3800000,2022,40081,2,1,3,15
"Suzuki Alto VXR,Petrol,Manual,2022",98,97,100,100,97,100,2500000,2022,8772,2,0,26,29
"Toyota Passo X S,Petrol,Automatic,2020",94,82,100,100,97,100,4000000,2020,28705,2,1,27,323
"Toyota Land Cruiser ZX,Petrol,Automatic,2019",99,97,100,100,100,100,61500000,2019,4731,2,1,27,277
"Suzuki Cultus VXR,Petrol,Manual,2021",95,86,100,100,97,100,3200000,2021,9357,2,0,26,174
"Honda Civic Oriel 1.8 i-VTEC CVT,Petrol,Automatic,2021",86,56,100,100,92,100,7200000,2021,57674,2,1,11,108
